accuracy,f1_score_0,f1_score_1,avg_loss
0.6197183098591549,0.6153846153846154,0.6239554317548747,0.6427658201942981
0.5774647887323944,0.6359223300970874,0.4966442953020134,2.398571731968009
0.6450704225352113,0.685,0.5935483870967742,0.6320119034656336
0.5971830985915493,0.6697459584295612,0.48375451263537905,1.8523171850991609
0.6,0.6682242990654206,0.49645390070921985,0.746093072962593
0.6084507042253521,0.6729411764705883,0.512280701754386,1.5891988805385346
0.5859154929577465,0.6754966887417219,0.4280155642023346,2.2695776082154238
0.6169014084507042,0.6494845360824743,0.577639751552795,2.035747206304011
0.5971830985915493,0.6520681265206812,0.5217391304347826,1.7628528330748503
0.6253521126760564,0.6615776081424937,0.580441640378549,2.2509366760718836
